name_ko,name_en,url
부산과학기술대학교,Busan Institute of Science and Technology,https://ipsi.bist.ac.kr/
부산교육대학교,Busan National University of Education,https://enter.bnue.ac.kr/
부산대학교,Pusan National University,https://go.pusan.ac.kr/
부산디지털대학교,Busan Digital University,https://www.bdu.ac.kr/ent/index.do
부산여자대학교,Busan Women's College,https://www.bwc.ac.kr/ipsi/index.asp
부산예술대학교,Busan Arts College,https://www.busanarts.ac.kr/
부산외국어대학교,Pusan University of Foreign Studies,https://enter.bufs.ac.kr/
부산장신대학교,Busan Presbyterian University,https://bpu.ac.kr
부천대학교,Bucheon University,https://ipsi.bc.ac.kr/ipsi/main.do
사이버한국외국어대학교,Cyber Hankuk University of Foreign Studies,https://go.cufs.ac.kr/
삼육대학교,Sahmyook University,https://ipsi.syu.ac.kr/
삼육보건대학교,Sahmyook Health University,https://exam.shu.ac.kr/
상명대학교,Sangmyung University,https://admission.smu.ac.kr/
상지대학교,Sangji University,https://go.sangji.ac.kr/kor/index.do
상지영서대학교,Sangji Youngseo University,https://www.sy.ac.kr/
서강대학교,Sogang University,https://admission.sogang.ac.kr/
서경대학교,Seokyeong University,https://go.skuniv.ac.kr/
서라벌대학교,Sorabol College,https://www.sorabol.ac.kr/sub2_2_a
서영대학교,Seoyeong University,https://www.seoyeong.ac.kr/
서울과학기술대학교,Seoul National University of Science and Technology,https://admission.seoultech.ac.kr/
서울과학종합대학원대학교,Seoul School of Integrated Sciences and Technologies (aSSIST),https://assist.ac.kr
서울교육대학교,Seoul National University of Education,https://admission.snue.ac.kr/
서울기독대학교,Seoul Christian University,https://admission.scu.ac.kr/
서울대학교,Seoul National University,https://admission.snu.ac.kr/international/notice
서울디지털대학교,Seoul Digital University,https://go.sdu.ac.kr/
서울미디어대학원대학교,Seoul Media Institute of Technology,https://smit.ac.kr
서울보건대학교,Seoul Health College,https://www.shjc.ac.kr/
서울사이버대학교,Seoul Cyber University,https://apply.iscu.ac.kr/
서울성경신학대학원대학교,Seoul Bible Graduate School of Theology,https://sbgst.ac.kr
서울시립대학교,University of Seoul,https://admission.uos.ac.kr/
서울신학대학교,Seoul Theological University,https://ipsi.stu.ac.kr/
서울여자간호대학교,Seoul Women's College of Nursing,https://snjc.ac.kr
서울여자대학교,Seoul Women's University,https://admission.swu.ac.kr/
서울예술대학교,Seoul Institute of the Arts,https://www.seoularts.ac.kr/
서울외국어대학원대학교,Seoul University of Foreign Studies,https://sufs.ac.kr
서울장신대학교,Seoul Jangsin University,https://www.sjs.ac.kr/admission/main/index.php
서울한영대학교,Seoul Hanyoung University,https://ipsi.hytu.ac.kr/
서원대학교,Seowon University,https://seowon.ac.kr
서일대학교,Seoil University,https://www.seoil.ac.kr/ipsi/index.do
서정대학교,Seojeong University,https://seojeong.ac.kr/iphak/index.do
선린대학교,Sunlin University,https://admission.sunlin.ac.kr/
선문대학교,Sun Moon University,https://ilove.sunmoon.ac.kr/main.do
선학유피대학원대학교,Sunhak Universal Peace Graduate University,https://supu.ac.kr
성결대학교,Sungkyul University,https://ipsi.sungkyul.ac.kr/
성공회대학교,Sungkonghoe University,https://enter.skhu.ac.kr/
성균관대학교,Sungkyunkwan University,https://admission.skku.edu/admission/html/abroad/notice.html
성덕대학교,Sungduk University,https://www.sdc.ac.kr/
성산효대학원대학교,Sungsan Hyodo Graduate School,https://hyo.ac.kr
성신여자대학교,Sungshin Women's University,https://ipsi.sungshin.ac.kr/
성심외국어대학,Sacred Heart Foreign Language College,https://www.sungsim.ac.kr/
세경대학교,Sekyung University,https://www.sekyung.ac.kr/
세계사이버대학교,World Cyber University,https://www.world.ac.kr/
세명대학교,Semyung University,https://www.semyung.ac.kr/ipsi.do
세종대학교,Sejong University,https://ipsi.sejong.ac.kr/
세종사이버대학교,Sejong Cyber University,https://go.sjcu.ac.kr/
세한대학교,Sehan University,https://iphak.sehan.ac.kr/iphak/main.do
송곡대학교,Songgok University,https://www.songgok.ac.kr/
송원대학교,Songwon University,https://iphak.songwon.ac.kr/
송호대학교,Songho University,https://www.songho.ac.kr/iphak/index.do
수도국제대학원대학교,Sudo International University,https://sudo.ac.kr
수성대학교,Suseong College,https://sc.ac.kr
수원가톨릭대학교,Suwon Catholic University,https://suwoncatholic.ac.kr
수원과학대학교,Suwon Science College,https://ipsi.ssc.ac.kr/
수원대학교,University of Suwon,https://ipsi.suwon.ac.kr/
수원여자대학교,Suwon Women's University,https://apply.swc.ac.kr/
숙명여자대학교,Sookmyung Women's University,https://admission.sookmyung.ac.kr/
순천대학교,Sunchon National University,https://www.scnu.ac.kr/iphak/main.do
순천제일대학교,Suncheon Jeil College,https://www.sjc.ac.kr/
순천향대학교,Soonchunhyang University,https://ipsi.sch.ac.kr/main.do
숭실대학교,Soongsil University,https://admission.ssu.ac.kr/
숭실사이버대학교,Soongsil Cyber University,https://www.kcu.ac/
숭의여자대학교,Soongeui Women's College,https://sewc.ac.kr
신경대학교,Shingyeong University,https://www.sgu.ac.kr/
신경주대학교,SinGyeongju University,https://gju.ac.kr
신구대학교,Shingu College,https://enter.shingu.ac.kr/
신라대학교,Silla University,https://ipsi.silla.ac.kr/
신성대학교,Shinsung University,https://ipsi.shinsung.ac.kr/main.do
신안산대학교,Shin Ansan University,https://apply.sau.ac.kr/
신한대학교,Shinhan University,https://ipsi.shinhan.ac.kr/
실천신학대학원대학교,Graduate School of Practical Theology,https://kictt.ac.kr
아시아라이프대학교,Asia LIFE University,https://asialife.ac.kr
아신대학교,ACTS University,https://www.acts.ac.kr/admission/design/index.asp
아주대학교,Ajou University,https://www.ajou.ac.kr/kr/admission/list01.do
아주자동차대학교,Ajou Motor College,https://www.motor.ac.kr/
안동과학대학교,Andong Science College,https://ipsi.asc.ac.kr/ascc/index.do
